ycm,ROW,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53
16.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217769006693862,0.0,0.222621339673109,0.0,0.207454381869492,0.0,0.24554620927157,0.0,0.299622845008095,0.0,0.341715127502543,0.0,0.359702500441901,0.0,0.380184400536773,0.0,0.321269153131198,0.0,0.22991029999936,0.0,0.212204444779521,0.0,0.225755908383361,0.0,0.241559018477353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.5,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252106909353293,0.244205760587488,0.231890045350316,0.244863434483635,0.23607281817713,0.260731429607853,0.265539669218187,0.282292718010617,0.287966146831966,0.35166226351769,0.410066743653064,0.421973136096613,0.430068362934583,0.429160950938718,0.432634280568752,0.435194559542889,0.426714868989355,0.370577791632245,0.297011458891194,0.289957099521814,0.286144879518644,0.271694867628143,0.261384963668621,0.267139683304234,0.274962072412867,0.269428112582879,0.257784591805307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262043500037003,0.271791502177551,0.27505708095248,0.277827906023506,0.288869534733984,0.293652597532431,0.333858849166604,0.314333930159209,0.330118846720747,0.34707640586318,0.408993318577636,0.458614869055228,0.506042310296263,0.486009331379018,0.494238659809638,0.476901080617892,0.501244688076675,0.463561712353884,0.437315685517234,0.360887369097072,0.346761759678058,0.324183039278077,0.327045182545789,0.306891123772938,0.306455788752085,0.304649753241672,0.303406767635987,0.28071269438028,0.263493093030942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.5,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28342277514671,0.293513815167529,0.297958518367428,0.307335143989822,0.315494963057243,0.320722301195385,0.315809188052008,0.336397559055493,0.327818355531298,0.349208032280754,0.36122731132237,0.438889806900807,0.509357103693947,0.52572747763728,0.513687992475587,0.517658132954948,0.479486694016503,0.507119245965292,0.488971606832271,0.449374598517431,0.362460572301801,0.362968871400194,0.336780335369817,0.342106983061127,0.332678560125259,0.333089066174891,0.333774384165747,0.32300836181326,0.298166325048885,0.296756276475172,0.282165491948825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290962949481017,0.310790283420819,0.330630467118974,0.333768978002081,0.340830013582139,0.349009790335336,0.362715518938305,0.356544944236659,0.368103843472061,0.370483015537462,0.377667615548602,0.412399256724571,0.475981494009274,0.533343080334877,0.573822504083323,0.570910386994318,0.583219185518064,0.554660771138193,0.558773994935721,0.53339502535431,0.508750529418418,0.429750594368496,0.4058728182511,0.380386771092679,0.371923854203644,0.364420554517655,0.359447531656473,0.362032028325922,0.356685970402423,0.342018770936788,0.343200195872035,0.317083879205752,0.301873427094308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305879008455032,0.319613501090277,0.338144941936575,0.353119808631373,0.365656912939784,0.362066620533578,0.376998665763656,0.388943961350926,0.379551226484264,0.404341252749942,0.408342247597888,0.429632348521967,0.434720606018038,0.514910970777871,0.574211219552964,0.603928348323376,0.612911865900301,0.618082742719574,0.597163210082484,0.59956580863905,0.577083970230829,0.533638509465822,0.441918457502663,0.433788324445145,0.406970076546155,0.412795944819542,0.393632272085243,0.398173663812618,0.398220227079045,0.386973475015397,0.370022592423811,0.357229106605934,0.341096401907841,0.332711637622932,0.313420875211696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323901234638278,0.333294034746612,0.343467104488484,0.360047524955707,0.378046912530157,0.382337042193255,0.364780889848734,0.404754610354679,0.436510434217478,0.433749902347623,0.461367693445555,0.470137809956925,0.49779892492334,0.506311352184004,0.574730563531207,0.624398287704724,0.654767803756916,0.660002356028409,0.679036709377449,0.658624741874061,0.665242059307165,0.635163341972841,0.606801080711379,0.519032648173363,0.480391945480661,0.465319741787527,0.478657576443125,0.450977297079428,0.44139462442971,0.438112141452687,0.422965110156309,0.401736782907759,0.374597236220051,0.375620448630549,0.374455846277885,0.341803388182177,0.317315617812724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337256848574721,0.350568295911601,0.359928791404655,0.374572431660115,0.380531140867611,0.410325719240526,0.420863453454343,0.432610251836607,0.440728451588847,0.468962122760186,0.457570255243194,0.501793459524067,0.513042373860917,0.531154458871692,0.51799531426343,0.624690397647741,0.693883563977807,0.710253047100533,0.693293045078973,0.721738970593357,0.693056988729145,0.715220196717408,0.691526257641993,0.646632666567501,0.547019108998747,0.533907005924714,0.495259368680164,0.512421055088174,0.490224715359632,0.491012047889252,0.489868604145685,0.464361674385272,0.439362192830864,0.41943867338094,0.412332310116418,0.392382541756149,0.362021213426404,0.347887214750138,0.336188475220834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.336192904573013,0.362010448042209,0.381186309028749,0.396497172960905,0.414362689879711,0.43594056257252,0.461861370109991,0.481547471180614,0.504068212454506,0.51252049949379,0.541039349991225,0.545755505304603,0.575193515546603,0.589862539108544,0.595781222439082,0.632694723399431,0.712152148818519,0.77212566760588,0.799067775588437,0.806273591971395,0.821569139187862,0.808121592466526,0.81105548119133,0.783274524014917,0.741184218917887,0.654162641180104,0.612957600539284,0.587046934192727,0.585542559869773,0.567584321223679,0.542560247621981,0.532122161286598,0.50525079040823,0.488100688669899,0.451462954356427,0.449979853441943,0.420720797203888,0.40081095012942,0.376023552540588,0.373715529679881,0.364790068658299,0.0,0.0,0.0,0.0,0.0,0.0
11.5,56,0.0,0.0,0.0,0.0,0.0,0.366864830840127,0.380757537933654,0.393405729992355,0.41936038651201,0.430510901530506,0.461683902723223,0.487007049432768,0.516904580928372,0.539396848703617,0.551817004100932,0.564245983940581,0.60186829710486,0.60921890043739,0.653974947340891,0.675433044587576,0.692399648611281,0.704850208076693,0.807648422427139,0.883399182038756,0.903585366041631,0.911164408030308,0.916296147576614,0.906804760757769,0.91075012430647,0.889332138308456,0.828001818914414,0.715489636264498,0.694898905131397,0.654428207681689,0.663727319081904,0.652009762043328,0.616154477247825,0.590809002970498,0.570800572235777,0.556326817084076,0.527605235925067,0.515403352091039,0.475320510370854,0.444478237346799,0.424078374497214,0.417860022299803,0.394831445252592,0.365842381420297,0.0,0.0,0.0,0.0,0.0
